Code;Product Title
0116;Electric brooms
0235;Electric waffle irons
0236;Faucet water heaters
0255;Clothes steamers
0393;Heaters or heating systems, other or not specified
0428;Kitchen gadgets, not elsewhere classified
0432;Trays (excluding food warmers)
0550;Telephones or telephone accessories
0573;Other sound recording, reproducing or receiving equipment
0713;Fire sprinklers
0804;Power routers
0814;Hoists, lifts, jacks or jack stands
0897;Power workshop grinders, buffers or polishers
0951;Toilet bowl products
0952;Fabric treatment products (excluding spot removers, cleaning fluids, bleaches and dyes)
1243;Seesaws or teeterboards
1279;Ice hockey (activity, apparel or equipment)
1354;Marbles
1389;Other toy weapons (nonprojectile)
1392;Toy sports equipment
1408;Power tillers or cultivators (not farm equipment)
1511;Sterilizers (home use)
1522;Baby strollers
1543;Cribs, nonportable
1610;Massage devices or vibrators (excluding shower attachments)
1619;Personal protection devices
1734;Music boxes or chimes
1807;Floors or flooring materials
1929;Drugs or medications, not specified
4056;Cabinets, racks, room dividers and shelves, not elsewhere classified
4074;Chairs, other or not specified
0106;Electric clothes dryers without washers
0112;Sewing machines or accessories
0113;Floor buffers or waxers
0216;Electric counter-top ovens, broilers or toaster ovens
0462;Chafing dishes or fondue pots
0465;Other cookware
0466;Cookware, not specified
0471;Food grinders
0704;Burglar alarms
0710;Electric timers
0809;Other portable or stationary power tools
0843;Radial arm saws
0869;Glue guns
0933;Turpentine
0983;Soaps (excluding laundry soaps or detergents)
1127;Nonglass bottles or jars (excluding baby bottles)
1211;Football (activity, apparel or equipment)
1293;Amusement attractions (including rides)
1301;Tricycles (children's)
1395;Toys, not specified
1399;Toy guns with projectiles
1431;Grass and leaf catchers (attachments for lawn mowers)
1561;Framed baby carriers (carried on the back)
1651;Combs, not specified
1715;Pet supplies (excluding foods and medicines)
1718;Flares
1889;Elevators or other lifts (excl. escalators, hoists, jacks, forklifts and automotive lifts)
3249;Grills, not specified
3253;Guns, not specified
4008;Nonelectric blankets
4055;Drapery or curtain rods, hooks or rings
4071;Floor lamps or table lamps, electric (excluding halogen lamps)
0212;Electric corn poppers
0263;Freezers (separate from refrigerators)
0367;Coal or wood-burning stoves
0477;Thermometers (excluding medical thermometers)
0575;Compact disks (CDs) and DVDs
0657;Towel racks or bars
0687;Benches (excluding work benches)
0835;Toolboxes or tool kits (excluding tools)
0856;Stationary power drills and accessories
0882;Nail guns or stud drivers
1215;Lacrosse (activity, apparel or equipment)
1261;Surfing (activity, apparel or equipment)
1330;Powered riding toys
1425;Wheelbarrows or lawn carts
1549;Other baby carriers
1617;Ear protection devices
1618;Respiratory protection devices
1687;Lighters, not specified
1714;Seasonal decorations (excluding Christmas decorations)
1730;Wooden matches
1842;Stairs or steps (excluding pull-down and folding stairs)
1931;Tablet or capsule drugs (excluding aspirin, aspirin substitutes, iron preparations and antihistamines)
1932;Other drugs or medications
3235;Other ball sports (activity, apparel or equipment)
3297;In-line skating (activity, apparel or equipment)
4083;Surge suppressors or power strips
5005;Riding toys (excluding bicycles and tricycles), not specified
5007;Toy weapons, not specified
5031;Snow boarding (activity, apparel or equipment)
5555;Substance ingested or inhaled by a victim under age 5 which could lead to a poisoning and for which there is no current product code.
0474;Tableware and accessories (excluding drinking glasses, cups, and mugs)
0650;Slipcovers
0653;Artificial flowers or plants
0666;Towels or cloths
0702;Fire or smoke alarms
0855;Portable power drills and accessories
0904;Floor waxes
0953;Abrasive cleaners
1138;Pressurized containers (nonaerosol
1208;Croquet (activity, apparel or equipment)
1217;Sleds
1276;Tetherball (activity, apparel or equipment)
1352;Slingshots or sling-propelled toys
1452;Outdoor electric lighting equipment
1457;Log splitters
1508;Baby walkers or jumpers
1512;Diapers
1533;Night-lights
1550;Infant and toddler play centers (excluding jumpers, bouncers, and exercisers
1891;Moving walks
3277;Exercise equipment (excluding weight lifting or gymnastic equipment)
3283;Snow skiing (activity, apparel or equipment)
3289;Darts, for indoor use (activity or equipment)
4016;Beach chairs or folding chairs
4025;Barstools or kitchen stools
4062;Electrical wire or wiring systems (excluding panelboards, receptacles or interrupters)
4077;Extension or straight ladders
5035;Minibikes, powered
0110;Electric heating pads
0213;Electric can openers
0218;Electric or battery-powered knives
0219;Electric deep fryers
0278;Electric ranges or ovens (excl. counter-top ovens)
0348;Portable electric heaters
0371;Ductwork for heating or cooling systems (excluding flues)
0381;Air conditioners
0443;Drinking straws
0559;Radios, not specified
0857;Pliers, wire cutters or wrenches
1141;Containers, not specified
1200;Sports and recreational activity, not elsewhere classified
1205;Basketball (activity, apparel or equipment)
1266;Volleyball (activity, apparel or equipment)
1342;Costumes or masks
1362;Woodburning kits
1726;Lockers
1739;Ashtrays, electric or battery operated
1808;Outdoor awnings or shutters
1894;Windows and window glass, other than storm windows
1930;Aspirin substitutes
3262;Swimming pool equipment (excluding chemicals, diving boards and swimming pool slides)
3284;Tennis (activity, apparel or equipment)
4014;Furniture, not specified
4045;Fabrics (not part of finished item)
5038;Fitness/activity tracker, personal (including pedometers and non-medical heart rate monitors)
0268;Slow cookers
0558;Indoor antennas (separate)
0571;Business and office machines
0833;Workshop compounds or chemicals
0859;Soldering equipment, not specified
0866;Electric soldering equipment
0936;Acids (excluding drain cleaners and battery acids)
0958;Other polishes
1023;Fertilizers, not specified
1143;Buckets or pails
1299;Snow tubing (activity, apparel or equipment)
1346;Clacker balls
1353;Toy boxes or chests
1381;Toys, not elsewhere classified
1393;Chemistry sets or science kits
1426;Hatchets or axes
1554;Safety pins
1556;Attachable high chairs (including booster seats)
1558;Baby bouncer seats (excl jumpers)
1645;Day wear
1654;Paper cutters
1701;Artificial Christmas trees
1733;Vending machines (excluding car washing machines)
1863;W allpaper
2640;Oral hygiene products
3260;Fencing (activity, apparel or equipment)
3288;Dune buggies/beach buggies
3293;Water slides, not elsewhere classified
3294;Water slides, backyard/home (not swimming pool slides)
4009;Nonbaby mattresses (excluding camp mattresses)
4063;Panelboards, circuit breakers, ground fault circuit interrupters (GFCIs) or fuses
0115;Vacuum cleaners
0214;Dishwashers
0232;Electric scissors
0322;Furnaces, other or not specified
0417;Flatware (excluding knives)
0422;Bottle openers
0574;Remote control, universal or not stated (excl. remote controls for toys)
0808;Power shapers
0879;Vises or workshop clamps
0888;Sprayers, not elsewhere classified
0915;Methyl alcohol
0955;Automotive chemicals (excluding antifreeze, lubricants, waxes and windshield wiper fluids)
0973;Liquid room deodorizers or fresheners
0981;Gasoline cans
1134;Other glass bottles or jars
1237;Gas, air or spring-operated guns (including BB guns)
1345;Building sets
1466;Decorative water features, including man-made ponds and fountains
1520;Baby exercisers
1625;Lighted make-up mirrors
1840;Pull-down or folding stairs
1887;Tool sheds
1893;Doors, other or not specified
1927;Liquid drugs (excluding aspirin, aspirin substitutes, iron preparations and antihistamines)
3221;Above-ground swimming pools (excluding portable pools)
3248;Gas or LP grills or stoves (for outdoor use)
3259;Go-carts
5006;Other toy guns
5029;Camping equipment (excl. trailers, lighting equipment, sleeping bags, cots, hammocks, coolers, stoves and heaters)
0107;Gas clothes dryers without washers
0125;Water softeners or conditioners (appliances)
0139;Incinerators
0264;Microwave ovens
0305;Vaporizers
0412;Pressure cookers or canners
0429;Food skewers
0434;Doorstops
0464;Knives, not elsewhere classified
0546;Stereo or hi-fi components or accessories (excluding self-contained units)
0557;Computers (equipment and electronic games)
0604;Desks, dressers, chests, bureaus, or buffets
0638;Window shades, venetian blinds or indoor shutters
0685;Extension cords
0964;Lamp oils
1139;Aluminum foil wrapping products
1270;Wrestling (activity, apparel or equipment)
1272;Gymnastics (activity, apparel or equipment
1275;Scuba diving (activity, apparel or equipment)
1278;Diving or diving boards
1449;Manual hedge trimmers
1454;Other power pruning or trimming equipment
1455;Manual pruning or trimming equipment, not specified
1462;Pumps, not elsewhere classified
1526;Crib mobiles or crib gyms
1531;Baby carriers (bicycle-mounted)
1542;Baby mattresses or pads
1551;Diaper fasteners (excluding safety pins)
1679;Grocery or shopping carts
1728;Matchbooks
1928;Antihistamines
3296;All-terrain vehicles (more than four wheels
5021;Toy vehicles (excluding riding toys)
0217;Electric coffee makers or teapots
0269;Electric kettles or hot pots
0346;Electric fireplaces, factory built
0562;Laser pointers
0639;Flashlights or battery-powered lanterns
0679;Sofas, couches, davenports, divans or studio couches
0709;Safes
0864;Sabre saws
0896;Welding equipment
0898;Manual workshop grinders, buffers or polishers
0929;Drain cleaners
0932;Shoe polishes
0937;Rust removers
0978;Automotive waxes, polishes or cleaners
1123;Plastic containers (rigid or semi-rigid, excluding bottles and jars)
1130;Plastic bags
1257;Horseshoes (activity, apparel or equipment)
1283;Unicycles
1433;Power leaf mulchers and grinders
1555;High chairs
1667;Razors or shavers, not specified
1682;Hair curlers, curling irons, clips & hairpins
3274;Swimming (activity, apparel or equipment
3295;Water slides, public (stationary amusement rides)
4005;Filters (excluding swimming pool and aquarium filters)
4068;Scales, not electric or not battery operated or not specified (excluding baby scales)
0227;Ice makers (separate from refrigerators)
0336;Built-in fireplaces
0532;Glass bottle cutting equipment
0627;Light bulbs (excluding Christmas tree light bulbs)
0894;Hacksaws
0949;Laundry soaps or detergents
0974;Solid room deodorizers or fresheners
1233;Trampolines
1240;Aquariums or accessories
1309;Kites or kite string
1413;Greenhouse or gardening supplies (excluding plant stands, tools, hoses, sprayers and chemicals)
1415;Manual snow or ice removal tools
1544;Baby baths or bathinettes
1686;Coins
1898;Gas fumes or gas vapors of unknown origin
3217;Skating (activity, apparel or equipment) not specified
3223;Fishing (activity, apparel or equipment
3233;Other grills or stoves
3247;Ice or snow boating (activity, apparel or equipment)
3276;Water polo (activity, apparel or equipment)
4011;Inflatable furniture
5044;Utility vehicles
0102;Wringer washing machines
0240;Electric knife sharpeners
0275;Food processors
0307;Air purifiers
0372;Brick, stone or masonry chimneys
0427;Ice picks
0431;Toothpicks or hor d'oeuvres picks
0552;Antennas, not specified
0569;Art and ceramic supplies or equipment (excl. paintbrushes)
0671;Chair, rocking
0830;Hand saws
0874;Cutting torches
0927;Tapes (with adhesive surfaces)
1310;Pogo sticks
1319;Metal or plastic molding sets
1390;Toy guns, not specified
1394;Dolls, plush toys, and action figures
1439;Lawn mowers, not specified
1461;Leaf blowers
1463;Brushcutters, powered
1646;Outerwear
1683;Hair clippers and trimmers
1738;Public equipment, not elsewhere classified (including conveyor belts, signs)
1803;Thermal or sound insulation materials
1812;Gutters, drainpipes, downspouts or run-off pipes
1870;Windowsills or frames
1890;Escalators
1897;Drywall in a completed structure
1926;Pesticides
